next_n_time,prediction,origin,training_score,predicting_score
0,371.54086499978803,351.80383,1.6122152479702834e-07,-10.753802053594493
1,354.32646340982961,339.71629999999999,1.3559518718953001e-07,-9.6576394479082808
2,341.2677976645013,322.75540000000001,5.3255677241459409e-06,-7.9977543111988316
3,301.48609705968494,309.54797000000002,0.65289976207111522,-2.1236516699939427
4,314.99035808892756,298.43511999999998,0.15893075972898907,-4.066130388569916
5,283.7305429061476,290.92059999999998,0.73583550877818915,-1.6741584352351584
6,288.80113895609179,285.18167,0.60777616589508998,-1.5493450817334324
7,307.89707474590659,284.87772000000001,0.16472749488335081,-4.6396559430910056
8,277.89259273943219,282.97000000000003,0.71268526161524726,-0.21293330135045441
9,301.15925048706572,277.53145999999998,0.16520459287372558,-3.4424139290745375
10,284.14719634398961,272.14746000000002,0.64162362425445485,-2.3232339003268305
11,286.7263095128086,271.04477000000003,0.65527326946263553,-1.3372475381894544
12,271.58724079287356,270.57461999999998,0.74187335149176536,-1.1793230340034286
13,275.25178136848808,271.19193000000001,0.66879343314283135,-0.65533700798301187
14,298.70087739966272,272.24115,9.2823619235460342e-08,-5.1873009796268299
15,275.4443748651247,270.54430000000002,0.75165840181074461,-0.47314055232316754
16,281.81610206605495,271.59656000000001,0.74343558873128168,-0.28584672575159087
17,293.98519234167082,277.4837,0.73557398952137931,-0.12972832192883166
18,298.16059484060264,285.39490000000001,0.74926736262916016,0.050816358453924182
19,319.03897385462415,293.19223,0.65686374485789834,-1.1432923881416732
20,364.2288277454939,314.23685,0.16871037426179095,-3.2861408334162325
21,356.16609462729565,338.55576000000002,0.55546855189197808,-2.2156440931908454
22,351.98836640274806,358.26850000000002,0.40523128322824298,-4.2920545977439257
23,427.63538209800743,364.78757000000002,5.3767891172729065e-07,-1.6686969976630763
24,410.84711472628982,406.26900000000001,0.61062926471968371,-1.2222905693305237
25,478.8522832160042,426.52249999999998,1.5112330276068064e-09,-0.82753650996541084
26,513.53822574251683,459.78055000000001,-0.02966144463461351,-2.1336095285770176
27,528.81197168167284,473.15499999999997,2.3589806763535393e-07,-1.9762125670692978
28,542.35109050707024,486.49279999999999,1.165767835598075e-07,-0.045160459278703817
29,624.00386247425445,526.67920000000004,0.41171486807568686,-0.79289427379279598
30,587.67177267670809,542.01769999999999,6.3832628494076015e-07,-0.47630347967803366
31,609.94816192199653,557.60284000000001,4.5109612922811237e-07,-0.35629081691138903
32,619.66256873572286,585.4067,4.6429738476128074e-07,-0.40919714795255757
33,674.34274063089163,592.03470000000004,0.48132281526214321,-0.54682028022331086
34,688.78139077260153,598.91876000000002,0.43816962129592996,-0.82080864804977716
35,559.60776892211061,594.96910000000003,-0.60330218367880084,-0.54346315875601525
36,627.09910077850725,609.63639999999998,0.078546047598035185,-0.044701682160816603
37,663.1723934344833,606.25890000000004,0.42954249014500889,-0.47517500290190062
38,667.32529232556954,596.77449999999999,0.45354399332322226,-0.55106917753192364
39,647.35250895687795,586.60546999999997,0.0018715341680587416,-1.269801698774228
40,548.81634276691852,590.86620000000005,0.19726655646949609,-0.42548275934534563
41,603.85120680924524,587.36059999999998,0.40713743004568048,-0.034627748225958266
42,654.7876911573062,586.65466000000004,0.17122131584140654,-1.0567848443716965
43,651.00785423273248,582.42049999999995,0.0012921063316486678,-1.7446410645303638
44,587.37662207402877,582.94195999999999,0.26385227449125126,-0.35988849221356012
45,644.00431582318754,577.61749999999995,0.002285496417390398,-1.5757450317989723
46,437.02778394286281,580.50305000000003,-2.9717016723187872,-9.7651980325962757
47,571.6623774652428,574.85802999999999,0.41966811867747433,-0.24646816575386146
48,625.00485289054586,561.22613999999999,0.33376537057776812,-0.42627790120963222
49,601.52045488409033,549.56619999999998,0.41806967002951878,-0.16134253421303479
50,579.01059065872744,554.38684000000001,0.35076785993397452,-0.21124382092637961
51,2275.5429600924649,549.12523999999996,-567.59371834027513,-2098.3529309465098
52,567.20747953658554,547.16179999999997,0.43467876158100782,-0.49192914412734634
53,555.12472495979728,544.90295000000003,-0.063458709222760756,-0.41977665692202631
54,592.22953943903428,572.52800000000002,0.33146178091070866,-0.19408383369677051
55,591.27184433621596,561.03516000000002,0.3486315541839754,-0.16814463617574213
56,611.65336549995936,555.83839999999998,0.16831887667710477,-0.85909944934557414
57,601.24340797683089,555.69470000000001,0.33911245857773398,-0.28557811245914233
58,650.11078550928119,579.41769999999997,-0.0035976770357162291,-2.7990524837436266
59,575.26229138969347,566.63099999999997,0.33969090659334633,-0.8874557795146516
60,630.09210374811812,565.78409999999997,0.012735025235580233,-1.5031215312904496
61,643.43701411185816,567.22479999999996,0.083136853524033771,-1.1650185286355517
62,628.29136879238024,582.57335999999998,0.15679829838749615,-1.0248668194250441
63,571.1219546253534,579.38440000000003,-1.0517939680467032,-1.0078244286834974
64,631.83774407805981,569.76953000000003,0.20183490110037638,-0.96397879428119915
65,646.39977480066045,576.43146000000002,0.27016814497339858,-0.77417699881309932
66,656.82187619826823,594.25256000000002,0.012181000462633042,-1.0408902483862867
67,563.69293107854094,599.09900000000005,0.42757446811605559,-0.89756022163673643
68,635.40019122242711,614.94299999999998,0.099175829755122957,-0.006905911578674484
69,563.62058590502568,614.6739,0.40566394796517957,-0.33505046802878802
70,582.86040089297489,629.28039999999999,0.43326553589937672,-0.25253838749765012
71,661.80904911884534,621.47550000000001,7.7415183035167701e-06,-0.47735758703447256
72,644.78995771675898,613.95667000000003,0.064588020032823601,0.075056083843497823
73,654.31527229522464,610.20180000000005,6.3498263377370634e-06,-0.46157350735215297
74,647.16558833244346,615.29560000000004,0.02914977813530328,-0.1444204649143761
75,651.86477372469687,615.78503000000001,1.9625860115946026e-06,-0.84127655831608583
76,637.10662341130649,597.55237,1.4797504589436627e-06,-0.56413891551188078
77,637.17588788773105,584.62896999999998,1.7181990304981911e-06,-0.50851705675741576
78,570.98407034315574,589.32709999999997,0.41603012616814433,-0.62964593913744005
79,579.81228532234093,580.17999999999995,0.43771917230668694,-0.2761327404706917
80,576.89006225910225,565.87670000000003,0.34308539423733864,-0.048994556063942651
81,614.6353093236653,555.22580000000005,2.1202931266284253e-07,-0.96830142839914568
82,575.49189070951968,561.66112999999996,0.3265800068884569,-0.36714174403235833
83,604.39391504039838,553.46576000000005,9.0620818882225507e-07,-1.2419221663556814
84,545.38478768104324,555.31830000000002,0.447674597798562,-0.43043858146032976
85,537.01141800568234,534.07349999999997,0.4142036549874113,-0.2931947565411015
86,572.95232962398904,531.12963999999999,7.7243520402170418e-07,-0.55810047291743681
87,587.26150317776455,533.72320000000002,0.30072999387749999,-1.3995763349417745
88,548.82144448264785,515.36834999999996,3.9410572483244977e-07,-0.61564063946213388
89,539.50460590860473,506.54178000000002,2.4597679026960861e-07,-8.4361418280026115
90,518.27187194681289,484.50443000000001,2.5316476370829122e-07,-7.0754280904107407
91,498.1560454073857,470.13916,4.9233098919909679e-07,-8.4214773801376364
92,478.20844275084943,464.91622999999998,4.105391996356289e-07,-10.75166047719358
93,448.62249542781103,431.06952000000001,3.9358742276451864e-07,-12.247439884095067
94,414.54470111363958,418.89800000000002,2.1507610137305733e-09,-10.402338462510956
95,384.83828387002768,382.39603,1.8465773465869972e-07,-9.7408599643309337
