Test prediction NMSE is:  1.24208698252 & 2.17658469913 , MAE is:  42.5148838081
target_datetime, predicted_value, real_value, training_MAE, predicting_MAE
2015/12/13 00:15,239.93542915874309,244.791,9.639857430380184,6.579778125475245
2015/12/13 00:30,242.33793202304858,244.791,7.375134151314903,4.653326282132279
2015/12/13 00:45,241.9772661776762,244.791,7.23816876382068,6.41801875838191
2015/12/13 01:00,239.6890146075142,244.791,7.073392590979064,4.153454337928295
2015/12/13 01:15,249.40310964086265,244.791,5.905305580086446,4.722803108123623
2015/12/13 01:30,246.56204775320583,244.791,6.277294353766175,4.056994251723
2015/12/13 01:45,243.98677161015246,244.791,5.370597348361707,3.0652183041964123
2015/12/13 02:00,245.7465635018315,244.791,5.678677783890973,3.1577584356204014
2015/12/13 02:15,248.68992878121463,244.791,5.113547662456309,3.477803316910091
2015/12/13 02:30,243.39818974722215,244.791,5.319075232124675,3.0677160174420366
2015/12/13 02:45,247.04990989426253,244.791,5.135834770147666,3.6587728933459487
2015/12/13 03:00,253.39793115823818,244.791,5.390302307515783,4.146961334219189
2015/12/13 03:15,251.31074642908337,244.791,4.974197504243721,4.535465135779364
2015/12/13 03:30,242.70487886277121,244.791,5.511316750344268,4.295818451626609
2015/12/13 03:45,242.98922901131388,244.791,5.564291620849475,3.548614200956173
2015/12/13 04:00,247.06373899251901,244.791,5.053597102012451,3.8570106646115776
2015/12/13 04:15,249.91916680924544,244.791,6.201362678607575,4.293777439347471
2015/12/13 04:30,245.77877361706393,244.791,4.792850412173701,4.022770037800383
2015/12/13 04:45,241.03495777461487,244.791,5.12604230251978,3.2926564270275067
2015/12/13 05:00,244.52699304837455,244.791,4.937067556220792,2.2510354970588535
2015/12/13 05:15,239.66840029383198,244.791,4.6707821240817236,3.6968379348830838
2015/12/13 05:30,245.57126390549942,244.791,4.673911843783528,3.3768935071638766
2015/12/13 05:45,241.66329465954502,244.791,6.093692253489857,3.2700330927084407
2015/12/13 06:00,250.43849816203348,244.791,7.062967899281991,3.403825406229454
2015/12/13 06:15,253.74002982469602,244.791,12.90023937221962,14.227279763089598
2015/12/13 06:30,245.2867325788981,244.791,13.968213041546985,5.729847274951308
2015/12/13 06:45,247.85656307722147,244.791,15.516888037991375,7.0308312555406065
2015/12/13 07:00,238.23617879885725,244.791,18.472183584629885,13.491601870951632
2015/12/13 07:15,716.08484531807892,244.791,49.30535805047238,167.71248153687344
2015/12/13 07:30,169.89983501396173,244.791,18.624857972207923,14.330834939588053
2015/12/13 07:45,183.91594219651989,244.791,15.397520506199763,9.123334319442359
2015/12/13 08:00,194.52626713959609,244.791,18.84849516976076,15.738038782460379
2015/12/13 08:15,174.03481343837356,244.791,14.856303117773782,15.04813127768864
2015/12/13 08:30,171.28867234371498,244.791,12.58665421715928,15.96742810997407
2015/12/13 08:45,197.42955788556563,244.791,11.812351135942876,13.79117534219942
2015/12/13 09:00,206.23622290993436,244.791,16.5096060364874,20.883705049746457
2015/12/13 09:15,191.46464358130959,244.791,13.004544725668572,10.86955717722904
2015/12/13 09:30,179.45554279177171,244.791,15.233710129190664,11.192626375857667
2015/12/13 09:45,199.20182390173238,244.791,14.910719569969036,10.40621407768289
2015/12/13 10:00,201.25185730740037,244.791,15.372841196256108,18.470370868375227
2015/12/13 10:15,191.67515126118676,244.791,10.60936180017199,10.277402024642042
2015/12/13 10:30,194.96162188944629,244.791,14.473216232817366,10.161901423649978
2015/12/13 10:45,196.28699594864733,244.791,15.355550835977416,11.470953140943635
2015/12/13 11:00,204.68525154716554,244.791,14.69599147515766,14.362044836653178
2015/12/13 11:15,185.01483029809933,244.791,12.504537125055146,14.188978424027713
2015/12/13 11:30,177.3629820521374,244.791,15.216347906449366,11.157544570285484
2015/12/13 11:45,189.46896857368625,244.791,12.23185118960001,8.669923494690163
2015/12/13 12:00,200.39436696920899,244.791,13.50867312798256,12.908191708429275
2015/12/13 12:15,186.56601112624202,244.791,10.27599027068299,7.084175142542868
2015/12/13 12:30,185.33597685038038,244.791,12.933856039607612,13.131898019165732
2015/12/13 12:45,188.31643445336388,244.791,13.509836539376478,11.8705763411931
2015/12/13 13:00,204.3781636874964,244.791,14.276770124430469,16.798406885230605
2015/12/13 13:15,179.75740697725374,244.791,10.744168416172393,7.269033190843041
2015/12/13 13:30,177.33122701814642,244.791,15.042412046679862,50.481704043767344
2015/12/13 13:45,189.40687635977559,244.791,14.211322298084328,39.53089331623151
2015/12/13 14:00,196.24695107251617,244.791,16.853934066711314,17.6614445146597
2015/12/13 14:15,175.35663964741687,244.791,12.288840202397628,11.570494355835073
2015/12/13 14:30,181.10821995995516,244.791,14.632586241930474,12.363689720384919
2015/12/13 14:45,190.17691036890295,244.791,11.89096256093766,11.90357559180242
2015/12/13 15:00,177.4891061168276,244.791,14.375746892023203,16.725925781018198
2015/12/13 15:15,185.00267193900066,244.791,10.300061893389,6.691395728918428
2015/12/13 15:30,181.72254411423987,244.791,13.059149439265415,8.764553530711737
2015/12/13 15:45,188.163755517091,244.791,13.45130703206914,7.782275986192673
2015/12/13 16:00,192.129290540516,244.791,13.397913355053689,11.447467259993058
2015/12/13 16:15,178.67721958031538,244.791,11.310400924461172,7.576888123354519
2015/12/13 16:30,184.57520954991881,244.791,13.82633553353491,10.500650164702195
2015/12/13 16:45,190.23247682305731,244.791,12.482250063662047,10.232007171673413
2015/12/13 17:00,194.35626543396401,244.791,10.762047508878426,12.327953045986844
2015/12/13 17:15,183.44396958620686,244.791,11.215746779860584,11.500225320960459
2015/12/13 17:30,173.67945232664727,244.791,13.426294617995024,10.389972094901342
2015/12/13 17:45,184.47863860191444,244.791,11.041199672275827,9.846624279298151
2015/12/13 18:00,196.03113530755058,244.791,13.484336879363582,12.045666237729694
2015/12/13 18:15,184.97896150798346,244.791,10.934248379287359,14.673413830817983
2015/12/13 18:30,195.65206862681947,244.791,16.076260418139576,15.791814259576466
2015/12/13 18:45,196.94134352257188,244.791,12.72595505916188,8.832168145921456
2015/12/13 19:00,190.49014765387869,244.791,12.848033641447705,15.61723572676668
2015/12/13 19:15,184.14783571295612,244.791,10.709347175338896,12.995773177210618
2015/12/13 19:30,182.4388821997733,244.791,12.025893877959325,13.45580777834725
2015/12/13 19:45,187.95355760345947,244.791,11.927746669975246,10.347713613580229
2015/12/13 20:00,182.39565697534752,244.791,11.702664924555407,13.916811216218415
2015/12/13 20:15,178.03143866787278,244.791,12.267091952986872,13.183817108330121
2015/12/13 20:30,183.42603321638052,244.791,11.87740152410445,12.758153202736192
2015/12/13 20:45,185.91399748711353,244.791,12.199201752562946,8.934676117023544
2015/12/13 21:00,184.27945197984499,244.791,12.463604791628851,13.270714554294901
2015/12/13 21:15,181.75794680792018,244.791,10.084978527222525,9.340240137163658
2015/12/13 21:30,181.48280623418006,244.791,12.555645637891011,18.251815318172522
2015/12/13 21:45,195.87741291834851,244.791,15.055189973476013,12.482698982135686
2015/12/13 22:00,185.49685646500853,244.791,18.857632350942325,16.54690318343484
2015/12/13 22:15,219.67944750347172,244.791,7.919337249340973,11.264123876858942
2015/12/13 22:30,334.74549900741005,244.791,12.601560295188424,23.52147656787712
2015/12/13 22:45,246.40415638632601,244.791,6.726510430639288,3.4194275534696446
2015/12/13 23:00,245.37962544986036,244.791,6.79020991393479,6.337887290027048
2015/12/13 23:15,244.15086846959812,244.791,7.421509942711057,5.153135229421328
2015/12/13 23:30,240.83119912911064,244.791,6.917576740326931,6.982041731040525
2015/12/13 23:45,245.2109305774826,244.791,8.68987038758876,11.512551747975397
2015/12/14 00:00,247.66713317287312,244.791,10.454706335945046,21.48930620427231
